"Country","Year","GINI_Index","Democratization_Level","Education_Expenditure","GDP_per_Capita"
"Paraguay",1986,2.9,2.9,1.328,1888.89
"Peru",1986,15.5,15.5,3.23739130434783,2374.9
"Uruguay",1986,37.1,37.1,3.1,4596.59
"Argentina",1987,25.1,25.1,1.28,2800.57
"Chile",1987,0,0,2.82,3736.18
"Colombia",1987,10.3,10.3,2.715,4040.47
"Costa Rica",1987,21.2,21.2,4.215,4293.65
"Ecuador",1987,12.8,12.8,6.32888888888889,2557.44
"El Salvador",1987,13.6,13.6,1.76086956521739,313.68
"Guatemala",1987,6.6,6.6,1.65588235294118,2024.22
"Honduras",1987,17.2,17.2,2.225,1638.33
"Nicaragua",1987,11.5,11.5,5.35,1808.01
"Panama",1987,16,16,3.87,4215.85
"Paraguay",1987,2.9,2.9,1.256,1980.45
"Peru",1987,15.5,15.5,3.22565217391304,2673.34
"Uruguay",1987,40,40,2.976,5223.6
"Argentina",1988,25.1,25.1,1.165,3037.66
"Chile",1988,0,0,2.63,4150.83
"Colombia",1988,10.3,10.3,2.7125,4205.93
"Costa Rica",1988,21.2,21.2,4.01,4379.12
"Ecuador",1988,14.8,14.8,5.78777777777778,2665
"El Salvador",1988,13.6,13.6,1.83260869565217,318.53
"Guatemala",1988,6.6,6.6,1.65823529411765,2036.08
"Honduras",1988,17.2,17.2,2.26571428571429,1725.85
"Nicaragua",1988,11.5,11.5,4.876,1555.72
"Panama",1988,0,0,3.81285714285714,3800.14
"Paraguay",1988,3.5,3.5,1.184,2113.83
"Peru",1988,15.5,15.5,3.21391304347826,2586.75
"Uruguay",1988,37.1,37.1,2.852,5301.33
"Argentina",1989,27.3,27.3,1.05,2973.45
"Chile",1989,26.5,26.5,2.44,4634.16
"Colombia",1989,10.3,10.3,2.71,4347.87
"Costa Rica",1989,21.2,21.2,4.08,4696.45
"Ecuador",1989,14.8,14.8,5.24666666666667,2763.75
"El Salvador",1989,8.4,8.4,1.90434782608696,306.19
"Guatemala",1989,6.6,6.6,1.66058823529412,2200.12
"Honduras",1989,17.8,17.8,2.30642857142857,1781.67
"Mexico",1989,11.4,11.4,2.28,6301.17
"Nicaragua",1989,11.5,11.5,4.402,1494.77
"Panama",1989,17.2,17.2,3.75571428571429,3880.66
"Paraguay",1989,6.9,6.9,1.112,2189.56
"Peru",1989,15.5,15.5,3.20217391304348,2198.28
"Uruguay",1989,43.5,43.5,2.728,5494.04
"Argentina",1990,27.3,27.3,1.07,3503.31
"Chile",1990,24.2,24.2,2.25,4846.59
"Colombia",1990,12.3,12.3,2.84555555555556,4554.62
"Costa Rica",1990,24,24,3.95833333333333,4867.36
"Ecuador",1990,14.8,14.8,4.70555555555556,2982.66
"El Salvador",1990,8.4,8.4,1.97608695652174,267.53
"Guatemala",1990,5.4,5.4,1.66294117647059,2333.84
"Honduras",1990,17.8,17.8,2.34714285714286,1884.58
"Mexico",1990,11.4,11.4,2.32,6779.14
"Nicaragua",1990,16.6,16.6,3.928,1517.28
"Panama",1990,17.2,17.2,3.69857142857143,4275.54
"Paraguay",1990,6.9,6.9,1.04,2476.27
"Peru",1990,12.6,12.6,3.1904347826087,2265.34
"Uruguay",1990,40.3,40.3,2.604,5624.82
"Argentina",1991,27.3,27.3,1.51333333333333,4195.48
"Chile",1991,24.2,24.2,2.29333333333333,5312.41
"Colombia",1991,9.7,9.7,2.98111111111111,4633.03
"Costa Rica",1991,24,24,3.83666666666667,4995.08
"Ecuador",1991,14.8,14.8,4.16444444444444,3153.34
"El Salvador",1991,8.4,8.4,2.04782608695652,254.28
"Guatemala",1991,5.4,5.4,1.66529411764706,2476.87
"Honduras",1991,17.8,17.8,2.38785714285714,1964.17
"Mexico",1991,11.4,11.4,2.55,7157.05
"Nicaragua",1991,16.6,16.6,3.454,1412.36
"Panama",1991,17.2,17.2,3.64142857142857,4814.28
"Paraguay",1991,6.9,6.9,1.435,2598.4
"Peru",1991,12.6,12.6,3.17869565217391,2397.24
"Uruguay",1991,40.3,40.3,2.48,6100.58
"Argentina",1992,27.3,27.3,1.95666666666667,4902.8
"Chile",1992,24.2,24.2,2.33666666666667,5995.34
"Colombia",1992,9.7,9.7,3.11666666666667,4857.39
"Costa Rica",1992,24,24,3.715,5451.11
"Ecuador",1992,14.7,14.7,3.62333333333333,3289.13
"El Salvador",1992,8.4,8.4,2.1195652173913,256.65
"Guatemala",1992,5.4,5.4,1.66764705882353,2528.1
"Honduras",1992,17.8,17.8,2.42857142857143,2007.07
"Mexico",1992,11.4,11.4,3.01,7481.28
"Nicaragua",1992,16.6,16.6,2.98,1403.45
"Panama",1992,17.2,17.2,3.58428571428571,5233.58
"Paraguay",1992,6.9,6.9,1.83,2666.22
"Peru",1992,12.6,12.6,3.16695652173913,2476.53
"Uruguay",1992,43.5,43.5,2.41,6985.91
"Argentina",1993,27.3,27.3,2.4,5681.72
"Chile",1993,21.5,21.5,2.38,6414.31
"Colombia",1993,9.7,9.7,3.25222222222222,5200.58
"Costa Rica",1993,24,24,3.59333333333333,5808.41
"Ecuador",1993,14.7,14.7,3.08222222222222,3219.33
"El Salvador",1993,8.4,8.4,2.19130434782609,299.52
"Guatemala",1993,0,0,1.67,2660.56
"Honduras",1993,14.4,14.4,2.46928571428571,2110.56
"Mexico",1993,11.4,11.4,3.33,7675.82
"Nicaragua",1993,16.6,16.6,2.855,1386.78
"Panama",1993,17.2,17.2,3.52714285714286,5467.62
"Paraguay",1993,10.9,10.9,2.225,2793.6
"Peru",1993,14.4,14.4,3.15521739130435,2641.16
"Uruguay",1993,40.3,40.3,2.34,7373.24
"Argentina",1994,27.3,27.3,2.84333333333333,6698.98
"Chile",1994,21.5,21.5,2.51,6974.11
"Colombia",1994,10.3,10.3,3.38777777777778,5491.48
"Costa Rica",1994,25.6,25.6,3.47166666666667,6072.82
"Ecuador",1994,14.7,14.7,2.54111111111111,3405.7
"El Salvador",1994,9.7,9.7,2.26304347826087,288.6
"Guatemala",1994,0.4,0.4,1.44,2740.16
"Honduras",1994,14.4,14.4,2.51,2119.87
"Mexico",1994,19.8,19.8,3.65,8015.59
"Nicaragua",1994,16.6,16.6,2.73,1430.38
"Panama",1994,28.5,28.5,3.47,5625.19
"Paraguay",1994,10.9,10.9,2.62,2949.33
"Peru",1994,12.6,12.6,3.14347826086957,3105.21
"Uruguay",1994,45.9,45.9,2.27,8113.52
"Argentina",1995,25.3,25.3,3.28666666666667,7505.76
"Brazil",1995,25.7,25.7,4.57,6170.58
"Chile",1995,21.5,21.5,2.56,7950.91
"Colombia",1995,10.3,10.3,3.52333333333333,5716.45
"Costa Rica",1995,25.6,25.6,3.35,6225.37
"Ecuador",1995,16.8,16.8,2,3456.46
"El Salvador",1995,9.7,9.7,2.33478260869565,300.98
"Guatemala",1995,0,0,1.6,2883.6
"Honduras",1995,14.4,14.4,2.62,2310.58
"Mexico",1995,19.8,19.8,3.69,7253.71
"Nicaragua",1995,16.6,16.6,2.605,1483.91
"Panama",1995,28.5,28.5,3.95,5602.18
"Paraguay",1995,10.9,10.9,3.015,3057.76
"Peru",1995,11.2,11.2,3.13173913043478,3491.37
"Uruguay",1995,42.5,42.5,2.52,8137.87
"Argentina",1996,25.3,25.3,3.73,9766.89
"Brazil",1996,25.7,25.7,4.63333333333333,7472.65
"Chile",1996,21.5,21.5,2.78,8341.81
"Colombia",1996,10.3,10.3,3.65888888888889,5666.07
"Costa Rica",1996,25.6,25.6,3.89,5993.16
"Ecuador",1996,16.5,16.5,2.06666666666667,3481.06
"El Salvador",1996,9.7,9.7,2.40652173913043,316.8
"Guatemala",1996,5.9,5.9,1.56,2904.63
"Mexico",1996,19.8,19.8,3.58333333333333,7378.19
"Nicaragua",1996,18.5,18.5,2.48,1542.07
"Panama",1996,28.5,28.5,4.09,5923.25
"Paraguay",1996,10.9,10.9,3.41,3054.47
"Peru",1996,11.2,11.2,3.12,3704.82
"Uruguay",1996,42.5,42.5,2.87,8694.85
"Argentina",1997,25.3,25.3,3.885,9952.57
"Brazil",1997,25.7,25.7,4.69666666666667,7199.88
"Chile",1997,21.5,21.5,2.99,8310.17
"Colombia",1997,10.3,10.3,3.79444444444444,5767.08
